college,academic_year,term,course_code,section,course_name,instructor,time,url
Centre College,2022-23,S,CSC 170,a,Programming and Problem Solving,M Bradshaw,-M-W-F- 10:20-12:20PM,
Centre College,2022-23,S,CSC 170,b,Programming and Problem Solving,W Bailey,-M-W-F- 1:50- 3:50PM,
Centre College,2022-23,S,CSC 280,a,Systems Programming,D Toth,-M-W-F- 9:10-10:10AM,
Centre College,2022-23,S,CSC 280,b,Systems Programming,D Toth,-M-W-F- 11:30-12:30PM,
Centre College,2022-23,S,CSC 280L,a,CSC 280 Lab,D Toth,--T-R-- 8:00- 9:30AM,
Centre College,2022-23,S,CSC 280L,b,CSC 280 Lab,W Bailey,--T-R-- 12:40- 2:10PM,
Centre College,2022-23,S,CSC 360,a,Software Design,M Bradshaw,-M-W-F- 3:00- 4:00PM,
Centre College,2022-23,S,CSC 370,a,Design & Analysis of Algorithms,W Bailey,-M-W-F- 10:20-11:20AM,
Centre College,2022-23,S,CSC 372,a,Artificial Intelligence,T Allen,-M-W-F- 9:10-10:10AM,
Centre College,2023-24,F,CSC 170,a,Programming and Problem Solving,M Bradshaw,-M-W-F- 8:00-10:00AM,
Centre College,2023-24,F,CSC 170,b,Programming and Problem Solving,W Bailey,-M-W-F- 1:50- 3:50PM,
Centre College,2023-24,F,CSC 180,a,Systems Programming,D Toth,-M-W-F- 11:30-12:30PM / --T-R-- 8:00- 9:30AM,
Centre College,2023-24,F,CSC 270,a,Data Structures,M Bradshaw,-M-W-F- 12:40- 1:40PM,
Centre College,2023-24,F,CSC 270L,a,CSC 270 Lab,M Bradshaw,--T-R-- 12:40- 2:10PM,
Centre College,2023-24,F,CSC 270L,b,CSC 270 Lab,M Bradshaw,--T-R-- 2:20- 3:50PM,
Centre College,2023-24,F,CSC 362,a,Database Systems,W Bailey,-M-W-F- 9:10-10:10AM,
Centre College,2023-24,S,CSC 170,a,Programming and Problem Solving,D. Toth,-M-W-F- 8:00- 10:00AM,
Centre College,2023-24,S,CSC 170,b,Programming and Problem Solving,W Bailey,-M-W-F- 1:50- 3:50PM,
Centre College,2023-24,S,CSC 180,a,Systems Programming,D Toth,-M-W-F- 11:30-12:30PM,
Centre College,2023-24,S,CSC 180L,a,CSC 180 Lab,D Toth,--T-R-- 8:00- 9:30AM,
Centre College,2023-24,S,CSC 270,a,Data Structures,M. Bradshaw,-M-W-F- 12:40- 1:40PM,
Centre College,2023-24,S,CSC 270L,a,CSC 270 Lab,M. Bradshaw,--T-R-- 12:40- 2:10PM,
Centre College,2023-24,S,CSC 360,a,Software Design,M. Bradshaw,-M-W-F- 3:00- 4:00PM,
Centre College,2023-24,S,CSC 370,a,Design & Analysis of Algorithms,W. Bailey,-M-W-F- 10:20-11:20AM,
Centre College,2023-24,S,CSC 374,a,Theory of Computation,W. Bailey,--T-R-- 9:40-11:10AM,
Centre College,2024-25,F,CSC 170,a,Programming and Problem Solving,D. Toth,-M-W-F- 8:00-10:00AM,
Centre College,2024-25,F,CSC 170,b,Programming and Problem Solving,T. Allen,-M-W-F- 1:50- 3:50PM,
Centre College,2024-25,F,CSC 180,a,Systems Programming,W. Bailey,-M-W-F- 12:40-1:40PM / --T-R-- 12:40-2:10PM,
Centre College,2024-25,F,CSC 270,a,Data Structures,M. Bradshaw,-M-W-F- 8:00-9:00AM / --T-R-- 8:00- 9:30AM,
Centre College,2024-25,F,CSC 362,a,Database,W. Bailey,-M-W-F- 9:10-10:10AM,
Centre College,2024-25,S,CSC 110,a,Iterative Game Design,M. Bradshaw,--T-R-- 2:20- 3:50PM,
Centre College,2024-25,S,CSC 170,a,Programming and Problem Solving,D. Toth,-M-W-F- 8:00- 10:00AM,
Centre College,2024-25,S,CSC 180,a,Systems Programming,W. Bailey,-M-W-F- 12:40- 1:40PM / --T-R-- 12:30- 2:10PM,
Centre College,2024-25,S,CSC 360,a,Software Design,M. Bradshaw,-M-W-F- 8:00- 9:00AM,
Centre College,2024-25,S,CSC 370,a,Design & Analysis of Algorithms,W. Bailey,-M-W-F- 10:20-11:20AM,
Centre College,2024-25,S,CSC 372,a,Artificial Intelligence,T. Allen,-M-W-F- 9:10-10:10AM,
Centre College,2025-26,F,CSC 162,a,Mobile Apps for Good,M. Bradshaw,--T-R-- 9:40-11:10AM,
Centre College,2025-26,F,CSC 170,a,Programming and Problem Solving,D. Toth,-M-W-F- 8:00- 10:00AM,
Centre College,2025-26,F,CSC 170,b,Programming and Problem Solving,D. Toth,-M-W-F- 1:50- 3:50PM,
Centre College,2025-26,F,CSC 270,a,Data Structures,M. Bradshaw,-M-W-F- 12:40- 1:40PM,
Centre College,2025-26,F,CSC 270L,a,CSC 270 Lab,M. Bradshaw,--T-R-- 12:40- 2:10PM,
Centre College,2025-26,F,CSC 270L,b,CSC 270 Lab,M. Bradshaw,--T-R-- 2:20- 3:50PM,
Centre College,2025-26,F,CSC 362,a,Database,W. Bailey,-M-W-F- 9:10-10:10AM,
Centre College,2025-26,F,CSC 374,a,Theory of Computation,W. Bailey,-M-W-F- 1:50- 2:50PM,
Centre College,2025-26,S,CSC 110,a,Interactive Game Development,M. Bradshaw,--T-R-- 8:00- 9:30AM,
Centre College,2025-26,S,CSC 170,a,Programming and Problem Solving,T. Allen,-M-W-F- 1:50- 3:50PM,
Centre College,2025-26,S,CSC 180,a,Systems Programming,W. Bailey,-M-W-F- 9:10-10:10AM / --T-R-- 9:40-11:10AM,
Centre College,2025-26,S,CSC 360,a,Software Design,M. Bradshaw,-M-W-F- 8:00- 9:00AM,
Centre College,2025-26,S,CSC 370,a,Design & Analysis of Algorithms,W. Bailey,-M-W-F- 10:20-11:20AM,
Centre College,2025-26,S,CSC 380,a,Operating Systems,D. Toth,-M-W-F- 1:50- 2:50PM,
