college,academic_year,term,course_code,section,course_name,instructor,time,url
Luther College,2025-26,S,CS-130,A,Fund of Web Programming,"Aburass, Sanad",M/W/F 11:00 AM - 12:00 PM,
Luther College,2025-26,S,CS-130,B,Fund of Web Programming,"Aburass, Sanad",M/W/F 12:15 PM - 1:15 PM,
Luther College,2026-27,F,CS-130,A,Fund of Web Programming,"Aburass, Sanad",M/W/F 12:15 PM - 1:15 PM,
Luther College,2026-27,F,CS-130,B,Fund of Web Programming,"Ho, Kar Ee",T/Th 12:45 PM - 2:15 PM,
Luther College,2025-26,S,CS-140,A,Data Modeling and Querying,"Ho, Kar Ee",M/W/F 11:00 AM - 12:00 PM,
Luther College,2026-27,F,CS-140,A,Data Modeling and Querying,"Yasinovskyy, Roman",M/W/F 12:15 PM - 1:15 PM,
Luther College,2025-26,S,CS-150,B,Intro to Computer Sci,"Ho, Kar Ee",M/W/F 1:30 PM - 2:30 PM,
Luther College,2026-27,F,CS-150,A,Intro to Computer Science,"Ho, Kar Ee",M/W/F 11:00 AM - 12:00 PM,
Luther College,2026-27,F,CS-150,B,Intro to Computer Science,"Ho, Kar Ee",M/W/F 1:30 PM - 2:30 PM,
Luther College,2025-26,S,CS-160,A,Algorithms and Data Structures,"Ho, Kar Ee",M/W/F 9:15 AM - 10:15 AM,
Luther College,2026-27,F,CS-160,A,Algorithms and Data Structures,"Ho, Kar Ee",M/W/F 9:15 AM - 10:15 AM,
Luther College,2026-27,F,CS-252,A,Object-Oriented Programming,"Aburass, Sanad",M/W/F 11:00 AM - 12:00 PM,
Luther College,2025-26,S,CS-260,A,Computational Models,"Do, Thuy",M/W/F 12:15 PM - 1:15 PM,
Luther College,2025-26,S,CS-295,A,Directed Study,"Do, Thuy",TBD,
Luther College,2025-26,S,CS-296,A,Writing in the Major Lab,"Yasinovskyy, Roman",TBD,
Luther College,2026-27,F,CS-296,A,Writing in the Major Lab,"Aburass, Sanad",TBD,
Luther College,2026-27,F,CS-296,B,Writing in the Major Lab,"Do, Thuy",TBD,
Luther College,2026-27,F,CS-296,C,Writing in the Major Lab,"Yasinovskyy, Roman",TBD,
Luther College,2026-27,F,CS-330,A,Web App Development,"Yasinovskyy, Roman",T/Th 12:45 PM - 2:15 PM,
Luther College,2026-27,F,CS-360,A,Adv Algorithms and Data Struct,"Aburass, Sanad",M/W/F 9:15 AM - 10:15 AM,
Luther College,2025-26,S,CS-370,A,Programming Languages,"Yasinovskyy, Roman",T/Th 12:45 PM - 2:15 PM,
Luther College,2025-26,S,CS-380,A,Internship,"Yasinovskyy, Roman",TBD,
Luther College,2025-26,Su,CS-380,A,Internship,"Yasinovskyy, Roman",TBD,
Luther College,2025-26,S,CS-381,A,Internship,"Do, Thuy",TBD,
Luther College,2026-27,F,CS-430,A,Computer Networks,"Yasinovskyy, Roman",M/W/F 11:00 AM - 12:00 PM,
Luther College,2025-26,S,CS-450,A,Operating Sys and Arch,"Yasinovskyy, Roman",M/W/F 1:30 PM - 2:30 PM,
Luther College,2026-27,F,CS-490,A,Senior Project,"Yasinovskyy, Roman",T/Th 2:30 PM - 4:00 PM,
Luther College,2025-26,S,CS-491,A,Senior Project,"Yasinovskyy, Roman",T/Th 2:30 PM - 4:00 PM,
Luther College,2026-27,F,CS-492,A,Accelerated Senior Project,"Yasinovskyy, Roman",TBD,
