college,academic_year,term,course_code,section,course_name,instructor,time,url,category
Lycoming College,2025-26,S,CPTR-125,A,Intro to Computer Science,Adrian Rublein,M/W/F 12:45 PM - 1:50 PM,,Core
Lycoming College,2025-26,S,CPTR-125,B,Intro to Computer Science,Adrian Rublein,M/W/F 12:45 PM - 1:50 PM,,Core
Lycoming College,2025-26,S,CPTR-246,A,Principles of Obj-Orient Prog,Adrian Rublein,M/W/F 9:00 AM - 10:05 AM,,Core
Lycoming College,2025-26,S,CPTR-320,A,Mobile Application Development,Krish Pillai,M/W/F 2:00 PM - 3:05 PM,,Mobile computing
Lycoming College,2025-26,S,CPTR-400,A,Software Engineering,Krish Pillai,M/W/F 11:30 AM - 12:35 PM,,Software engineering
Lycoming College,2026-27,F,CPTR-124,A,Programming for Data Science,Andrew S. Brandon,M/W/F 9:00 AM - 10:05 AM,,Data science
Lycoming College,2026-27,F,CPTR-125,A,Intro to Computer Science,Adrian Rublein,M/W/F 10:15 AM - 11:20 AM,,Core
Lycoming College,2026-27,F,CPTR-125,AT,Intro to Computer Science,Adrian Rublein,M/W/F 10:15 AM - 11:20 AM,,Core
Lycoming College,2026-27,F,CPTR-126,A,Operating System Concepts,Adrian Rublein,M/W/F 12:45 PM - 1:50 PM,,Operating systems
Lycoming College,2026-27,F,CPTR-247,A,Data Structures & Algorithms,Krish Pillai,M/W/F 11:30 AM - 12:35 PM,,Core
Lycoming College,2026-27,F,CPTR-310,A,Principles of 2-D Game Design,Krish Pillai,M/W/F 2:00 PM - 3:05 PM,,Games & interactive art
Lycoming College,2026-27,S,CPTR-125,A,Intro to Computer Science,Andrew S. Brandon,M/W/F 10:15 AM - 11:20 AM,,Core
Lycoming College,2026-27,S,CPTR-125,AT,Intro to Computer Science,Andrew S. Brandon,M/W/F 10:15 AM - 11:20 AM,,Core
Lycoming College,2026-27,S,CPTR-246,A,Principles of Obj-Orient Prog,Adrian Rublein,M/W/F 11:30 AM - 12:35 PM,,Core
Lycoming College,2026-27,S,CPTR-339,A,Intro to Database Systems,Adrian Rublein,M/W/F 2:00 PM - 3:05 PM,,Databases
Lycoming College,2026-27,S,CPTR-400,A,Software Engineering,Krish Pillai,M/W/F 10:15 AM - 11:20 AM,,Software engineering
