college,academic_year,term,course_code,section,course_name,instructor,time,url
Meredith College,2025-26,S,CS-110,A,Ethics & Informatn Technology,Ms. Andrea G. Green,T/Th 5:30 PM - 6:50 PM,
Meredith College,2025-26,S,CS-120,A,Spreadsheets,Ms. Andrea G. Green,T/Th 5:30 PM - 6:50 PM,
Meredith College,2025-26,S,CS-120,B,Spreadsheets,Ben Reid,M/W/F 9:00 AM - 9:50 AM,
Meredith College,2025-26,S,CS-140,A,Databases,Ms. Andrea G. Green,T/Th 5:30 PM - 6:50 PM,
Meredith College,2025-26,S,CS-156,A,Web Site Design and Mgmt.,Ms. Kristin R. Watkins,T/Th 9:30 AM - 10:50 AM,
Meredith College,2025-26,S,CS-180,A,Intro to Programming W/ Python,Ms. Kristin R. Watkins,M/W/F 11:00 AM - 11:50 AM,
Meredith College,2025-26,S,CS-190,A,Programming Fundamentals,"Mr. Mark K. Gass, III",M/W/F 2:00 PM - 2:50 PM,
Meredith College,2025-26,S,CS-212,A,Object Oriented Programming,Ms. Kristin R. Watkins,M/W/F 9:00 AM - 9:50 AM,
Meredith College,2025-26,S,CS-311,A,Computer Organization,"Mr. Mark K. Gass, III",M/W/F 11:00 AM - 11:50 AM,
Meredith College,2025-26,S,CS-326,A,Networking & Operating System,"Mr. Mark K. Gass, III",T/Th 2:00 PM - 3:20 PM,
Meredith College,2025-26,S,CS-407,A,Software Engineering,"Mr. Mark K. Gass, III",M/W/F 12:00 PM - 12:50 PM,
Meredith College,2025-26,S,CS-480,A,Computer Studies Internship,Ms. Kristin R. Watkins,TBD,
Meredith College,2025-26,S,CS-481,A,CS: Experiential Learning,Ms. Kristin R. Watkins,TBD,
Meredith College,2025-26,S,CS-498,A,Honors Thesis in Comp Studies,"Mr. Mark K. Gass, III",TBD,
Meredith College,2025-26,S,CS-499,A,Computer Studies Research,Ms. Kristin R. Watkins,TBD,
Meredith College,2025-26,Su,CS-120,A,Spreadsheets,Ms. Kristin R. Watkins,TBD,
Meredith College,2025-26,Su,CS-121,A,Spreadsheets II,Ms. Kristin R. Watkins,TBD,
Meredith College,2025-26,Su,CS-140,A,Databases,Ms. Kristin R. Watkins,TBD,
Meredith College,2025-26,Su,CS-156,A,Web Site Design and Mgmt.,Ms. Kristin R. Watkins,TBD,
Meredith College,2025-26,Su,CS-480,A,Computer Studies Internship,Ms. Kristin R. Watkins,TBD,
Meredith College,2025-26,Su,CS-481,A,CS Experiential Learning,Ms. Kristin R. Watkins,TBD,
Meredith College,2026-27,F,CS-110,A,Ethics & Informatn Technology,Staff,T/Th 9:30 AM - 10:50 AM,
Meredith College,2026-27,F,CS-120,A,Spreadsheets,Staff,T/Th 9:30 AM - 10:50 AM,
Meredith College,2026-27,F,CS-121,A,Spreadsheets II,Ben Reid,M/W/F 12:00 PM - 12:50 PM,
Meredith College,2026-27,F,CS-140,A,Databases,Staff,T/Th 9:30 AM - 10:50 AM,
Meredith College,2026-27,F,CS-156,A,Web Site Design and Mgmt.,Ms. Kristin R. Watkins,T/Th 9:30 AM - 10:50 AM,
Meredith College,2026-27,F,CS-180,A,Intro to Programming W/ Python,Ms. Kristin R. Watkins,M/W/F 9:00 AM - 9:50 AM,
Meredith College,2026-27,F,CS-190,A,Programming Fundamentals,"Mr. Mark K. Gass, III",M/W/F 9:00 AM - 9:50 AM,
Meredith College,2026-27,F,CS-212,A,Object-Oriented Programming,"Mr. Mark K. Gass, III",M/W/F 12:00 PM - 12:50 PM,
Meredith College,2026-27,F,CS-230,A,Web Programming with Database,Ms. Kristin R. Watkins,T/Th 11:00 AM - 12:20 PM,
Meredith College,2026-27,F,CS-301,A,Data Structures & Algorithms,"Mr. Mark K. Gass, III",T/Th 2:00 PM - 3:20 PM,
Meredith College,2026-27,F,CS-420,A,Computer Science Seminar,Ms. Kristin R. Watkins,Th 8:00 AM - 9:20 AM,
Meredith College,2026-27,F,CS-480,A,Computer Studies Internship,Ms. Kristin R. Watkins,TBD,
Meredith College,2026-27,F,CS-481,A,CS Experiential Learning,Ms. Kristin R. Watkins,TBD,
Meredith College,2026-27,F,CS-498,A,Honors Thesis in Comp Studies,Ms. Kristin R. Watkins,TBD,
Meredith College,2026-27,F,CS-499,A,Computer Studies Research,Ms. Kristin R. Watkins,TBD,
